customer_id,name,email,signup_date,total_spent,total_transactions,last_purchase_date,days_as_customer,days_since_last_purchase,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_bin_equal,spend_tier_quantile,recency_score,frequency_score,monetary_score,rfm_score
1001,Customer_1001,customer_1001@example.com,2025-06-22,2330.0,4,2025-03-27,193.0,280.0,0.6217616580310881,582.5,362.1761658031088,low,tier_3,3,3,4,10
1002,Customer_1002,customer_1002@example.com,2025-07-23,2346.0,4,2025-03-28,162.0,279.0,0.7407407407407407,586.5,434.4444444444444,low,tier_3,4,3,4,11
1003,Customer_1003,customer_1003@example.com,2025-08-24,2362.0,4,2025-03-07,130.0,300.0,0.9230769230769231,590.5,545.0769230769231,low,tier_3,2,3,4,9
1004,Customer_1004,customer_1004@example.com,2025-09-25,2378.0,4,2025-03-11,98.0,296.0,1.2244897959183674,594.5,727.9591836734694,low,tier_3,2,3,4,9
1005,Customer_1005,customer_1005@example.com,2025-10-26,2394.0,4,2025-03-15,67.0,292.0,1.791044776119403,598.5,1071.9402985074626,low,tier_3,2,3,4,9
1006,Customer_1006,customer_1006@example.com,2025-11-27,2410.0,4,2025-03-19,35.0,288.0,3.4285714285714284,602.5,2065.714285714286,medium,tier_3,3,3,4,10
1007,Customer_1007,customer_1007@example.com,2025-12-28,2426.0,4,2025-03-23,4.0,284.0,30.0,606.5,18195.0,high,tier_3,3,3,4,10
1008,Customer_1008,customer_1008@example.com,2025-01-01,2442.0,4,2025-03-27,365.0,280.0,0.32876712328767127,610.5,200.7123287671233,low,tier_3,3,3,4,10
1009,Customer_1009,customer_1009@example.com,2025-02-02,2458.0,4,2025-03-28,333.0,279.0,0.3603603603603604,614.5,221.44144144144144,low,tier_3,4,3,4,11
1010,Customer_1010,customer_1010@example.com,2025-03-03,2474.0,4,2025-03-07,304.0,300.0,0.39473684210526316,618.5,244.1447368421053,low,tier_3,2,3,4,9
1011,Customer_1011,customer_1011@example.com,2025-04-04,2490.0,4,2025-03-11,272.0,296.0,0.4411764705882353,622.5,274.63235294117646,low,tier_3,2,3,4,9
1012,Customer_1012,customer_1012@example.com,2025-05-05,2506.0,4,2025-03-15,241.0,292.0,0.4979253112033195,626.5,311.9502074688797,low,tier_3,2,3,4,9
1013,Customer_1013,customer_1013@example.com,2025-06-06,2522.0,4,2025-03-19,209.0,288.0,0.5741626794258373,630.5,362.00956937799043,low,tier_3,3,3,4,10
1014,Customer_1014,customer_1014@example.com,2025-07-07,2538.0,4,2025-03-23,178.0,284.0,0.6741573033707865,634.5,427.752808988764,low,tier_3,3,3,4,10
1015,Customer_1015,customer_1015@example.com,2025-08-08,2554.0,4,2025-03-27,146.0,280.0,0.8219178082191781,638.5,524.7945205479452,low,tier_3,3,3,4,10
1016,Customer_1016,customer_1016@example.com,2025-09-09,2570.0,4,2025-03-28,114.0,279.0,1.0526315789473684,642.5,676.3157894736843,low,tier_3,4,3,4,11
1017,Customer_1017,customer_1017@example.com,2025-10-10,2586.0,4,2025-03-07,83.0,300.0,1.4457831325301205,646.5,934.6987951807229,low,tier_3,2,3,4,9
1018,Customer_1018,customer_1018@example.com,2025-11-11,2602.0,4,2025-03-11,51.0,296.0,2.3529411764705883,650.5,1530.5882352941178,medium,tier_3,2,3,4,9
1019,Customer_1019,customer_1019@example.com,2025-12-12,2618.0,4,2025-03-15,20.0,292.0,6.0,654.5,3927.0,medium,tier_3,2,3,4,9
1020,Customer_1020,customer_1020@example.com,2025-01-13,2634.0,4,2025-03-19,353.0,288.0,0.3399433427762039,658.5,223.8526912181303,low,tier_3,3,3,4,10
1021,Customer_1021,customer_1021@example.com,2025-02-14,2650.0,4,2025-03-23,321.0,284.0,0.3738317757009346,662.5,247.66355140186917,low,tier_4,3,3,4,10
1022,Customer_1022,customer_1022@example.com,2025-03-15,2666.0,4,2025-03-27,292.0,280.0,0.4109589041095891,666.5,273.9041095890411,low,tier_4,3,3,4,10
1023,Customer_1023,customer_1023@example.com,2025-04-16,2682.0,4,2025-03-28,260.0,279.0,0.46153846153846156,670.5,309.4615384615385,low,tier_4,4,3,4,11
1024,Customer_1024,customer_1024@example.com,2025-05-17,2698.0,4,2025-03-07,229.0,300.0,0.5240174672489083,674.5,353.44978165938863,low,tier_4,2,3,4,9
1025,Customer_1025,customer_1025@example.com,2025-06-18,2714.0,4,2025-03-11,197.0,296.0,0.6091370558375635,678.5,413.29949238578683,low,tier_4,2,3,4,9
1026,Customer_1026,customer_1026@example.com,2025-07-19,2730.0,4,2025-03-15,166.0,292.0,0.7228915662650602,682.5,493.3734939759036,low,tier_4,2,3,4,9
1027,Customer_1027,customer_1027@example.com,2025-08-20,2746.0,4,2025-03-19,134.0,288.0,0.8955223880597015,686.5,614.776119402985,low,tier_4,3,3,4,10
1028,Customer_1028,customer_1028@example.com,2025-09-21,2762.0,4,2025-03-23,102.0,284.0,1.1764705882352942,690.5,812.3529411764706,low,tier_4,3,3,4,10
1029,Customer_1029,customer_1029@example.com,2025-10-22,2778.0,4,2025-03-27,71.0,280.0,1.6901408450704225,694.5,1173.8028169014085,low,tier_4,3,3,4,10
1030,Customer_1030,customer_1030@example.com,2025-11-23,2794.0,4,2025-03-28,39.0,279.0,3.0769230769230766,698.5,2149.230769230769,medium,tier_4,4,3,4,11
1031,Customer_1031,customer_1031@example.com,2025-12-24,2810.0,4,2025-03-07,8.0,300.0,15.0,702.5,10537.5,high,tier_4,2,3,4,9
1032,Customer_1032,customer_1032@example.com,2025-01-25,2826.0,4,2025-03-11,341.0,296.0,0.3519061583577712,706.5,248.6217008797654,low,tier_4,2,3,4,9
1033,Customer_1033,customer_1033@example.com,2025-02-26,2842.0,4,2025-03-15,309.0,292.0,0.3883495145631068,710.5,275.92233009708735,low,tier_4,2,3,4,9
1034,Customer_1034,customer_1034@example.com,2025-03-27,2858.0,4,2025-03-19,280.0,288.0,0.42857142857142855,714.5,306.2142857142857,low,tier_4,3,3,4,10
1035,Customer_1035,customer_1035@example.com,2025-04-28,2874.0,4,2025-03-23,248.0,284.0,0.48387096774193544,718.5,347.6612903225806,low,tier_4,3,3,4,10
1036,Customer_1036,customer_1036@example.com,2025-05-01,2890.0,4,2025-03-27,245.0,280.0,0.489795918367347,722.5,353.8775510204082,low,tier_4,3,3,4,10
1037,Customer_1037,customer_1037@example.com,2025-06-02,2906.0,4,2025-03-28,213.0,279.0,0.5633802816901409,726.5,409.29577464788736,low,tier_4,4,3,4,11
1038,Customer_1038,customer_1038@example.com,2025-07-03,2922.0,4,2025-03-07,182.0,300.0,0.6593406593406593,730.5,481.64835164835165,low,tier_4,2,3,4,9
1039,Customer_1039,customer_1039@example.com,2025-08-04,2938.0,4,2025-03-11,150.0,296.0,0.8,734.5,587.6,low,tier_4,2,3,4,9
1040,Customer_1040,customer_1040@example.com,2025-09-05,2954.0,4,2025-03-15,118.0,292.0,1.0169491525423728,738.5,751.0169491525425,low,tier_4,2,3,4,9
1041,Customer_1041,customer_1041@example.com,2025-10-06,2970.0,4,2025-03-19,87.0,288.0,1.3793103448275863,742.5,1024.1379310344828,low,tier_4,3,3,4,10
1042,Customer_1042,customer_1042@example.com,2025-11-07,2986.0,4,2025-03-23,55.0,284.0,2.181818181818182,746.5,1628.7272727272727,medium,tier_4,3,3,4,10
1043,Customer_1043,customer_1043@example.com,2025-12-08,3002.0,4,2025-03-27,24.0,280.0,5.0,750.5,3752.5,medium,tier_4,3,3,4,10
1044,Customer_1044,customer_1044@example.com,2025-01-09,3018.0,4,2025-03-28,357.0,279.0,0.3361344537815126,754.5,253.61344537815125,low,tier_4,4,3,4,11
1045,Customer_1045,customer_1045@example.com,2025-02-10,3034.0,4,2025-03-07,325.0,300.0,0.3692307692307692,758.5,280.0615384615384,low,tier_4,2,3,5,10
1046,Customer_1046,customer_1046@example.com,2025-03-11,3050.0,4,2025-03-11,296.0,296.0,0.4054054054054054,762.5,309.1216216216216,low,tier_4,2,3,5,10
1047,Customer_1047,customer_1047@example.com,2025-04-12,3066.0,4,2025-03-15,264.0,292.0,0.45454545454545453,766.5,348.4090909090909,low,tier_4,2,3,5,10
1048,Customer_1048,customer_1048@example.com,2025-05-13,3082.0,4,2025-03-19,233.0,288.0,0.5150214592274678,770.5,396.82403433476395,low,tier_4,3,3,5,11
1049,Customer_1049,customer_1049@example.com,2025-06-14,3098.0,4,2025-03-23,201.0,284.0,0.5970149253731343,774.5,462.3880597014925,low,tier_4,3,3,5,11
1050,Customer_1050,customer_1050@example.com,2025-07-15,3114.0,4,2025-03-27,170.0,280.0,0.7058823529411764,778.5,549.5294117647059,low,tier_4,3,3,5,11
1051,Customer_1051,customer_1051@example.com,2025-08-16,3130.0,4,2025-03-28,138.0,279.0,0.8695652173913044,782.5,680.4347826086957,low,tier_4,4,3,5,12
1052,Customer_1052,customer_1052@example.com,2025-09-17,3146.0,4,2025-03-07,106.0,300.0,1.1320754716981132,786.5,890.377358490566,low,tier_4,2,3,5,10
1053,Customer_1053,customer_1053@example.com,2025-10-18,3162.0,4,2025-03-11,75.0,296.0,1.6,790.5,1264.8,low,tier_4,2,3,5,10
1054,Customer_1054,customer_1054@example.com,2025-11-19,3178.0,4,2025-03-15,43.0,292.0,2.7906976744186047,794.5,2217.2093023255816,medium,tier_4,2,3,5,10
1055,Customer_1055,customer_1055@example.com,2025-12-20,3194.0,4,2025-03-19,12.0,288.0,10.0,798.5,7985.0,medium,tier_4,3,3,5,11
1056,Customer_1056,customer_1056@example.com,2025-01-21,3210.0,4,2025-03-23,345.0,284.0,0.34782608695652173,802.5,279.1304347826087,low,tier_4,3,3,5,11
1057,Customer_1057,customer_1057@example.com,2025-02-22,3226.0,4,2025-03-27,313.0,280.0,0.38338658146964855,806.5,309.20127795527156,low,tier_4,3,3,5,11
1058,Customer_1058,customer_1058@example.com,2025-03-23,3242.0,4,2025-03-28,284.0,279.0,0.4225352112676056,810.5,342.46478873239437,low,tier_4,4,3,5,12
1059,Customer_1059,customer_1059@example.com,2025-04-24,3258.0,4,2025-03-07,252.0,300.0,0.47619047619047616,814.5,387.85714285714283,low,tier_4,2,3,5,10
1060,Customer_1060,customer_1060@example.com,2025-05-25,3274.0,4,2025-03-11,221.0,296.0,0.5429864253393666,818.5,444.4343891402715,low,tier_4,2,3,5,10
1061,Customer_1061,customer_1061@example.com,2025-06-26,3290.0,4,2025-03-15,189.0,292.0,0.6349206349206349,822.5,522.2222222222223,low,tier_4,2,3,5,10
1062,Customer_1062,customer_1062@example.com,2025-07-27,3306.0,4,2025-03-19,158.0,288.0,0.759493670886076,826.5,627.7215189873418,low,tier_4,3,3,5,11
1063,Customer_1063,customer_1063@example.com,2025-08-28,3322.0,4,2025-03-23,126.0,284.0,0.9523809523809523,830.5,790.952380952381,low,tier_4,3,3,5,11
1064,Customer_1064,customer_1064@example.com,2025-09-01,3338.0,4,2025-03-27,122.0,280.0,0.9836065573770493,834.5,820.8196721311476,low,tier_4,3,3,5,11
1065,Customer_1065,customer_1065@example.com,2025-10-02,3354.0,4,2025-03-28,91.0,279.0,1.3186813186813187,838.5,1105.7142857142858,low,tier_4,4,3,5,12
1066,Customer_1066,customer_1066@example.com,2025-11-03,3370.0,4,2025-03-07,59.0,300.0,2.0338983050847457,842.5,1713.5593220338983,medium,tier_4,2,3,5,10
1067,Customer_1067,customer_1067@example.com,2025-12-04,3386.0,4,2025-03-11,28.0,296.0,4.285714285714286,846.5,3627.8571428571427,medium,tier_4,2,3,5,10
1068,Customer_1068,customer_1068@example.com,2025-01-05,3402.0,4,2025-03-15,361.0,292.0,0.33240997229916897,850.5,282.7146814404432,low,tier_4,2,3,5,10
1069,Customer_1069,customer_1069@example.com,2025-02-06,3418.0,4,2025-03-19,329.0,288.0,0.364741641337386,854.5,311.67173252279633,low,tier_4,3,3,5,11
